frame,timestamp,ball_x,ball_y,nearest_player_track_id,nearest_player_team,nearest_player_distance,possession_team,possession_status,unavailable_reason,debounce_note,possession_radius_yards,metric_type,coordinate_system
0,0.0,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
1,0.1,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
2,0.2,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
3,0.3,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
4,0.4,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
5,0.5,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
6,0.6,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
7,0.7,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
8,0.8,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
9,0.9,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
10,1.0,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
11,1.1,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
12,1.2,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
13,1.3,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
14,1.4,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
15,1.5,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
16,1.6,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
17,1.7,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
18,1.8,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
19,1.9,,,,,,,unavailable,no_ball_pitch,,5.0,estimated_model_derived,statsbomb_120x80_yards
